image,score
../datasets/photocentric/IMG_8624.jpg,5.06
../datasets/photocentric/598993211.464769.jpg,3.62
../datasets/photocentric/IMG_8694.jpg,2.61
../datasets/photocentric/IMG_8777.jpg,2.82
../datasets/photocentric/IMG_8702.jpg,2.9
../datasets/photocentric/IMG_0194.jpg,1.16
../datasets/photocentric/IMG_8627.jpg,2.01
../datasets/photocentric/IMG_8782.jpg,2.24
../datasets/photocentric/IMG_8661.jpg,4.42
../datasets/photocentric/IMG_8625.jpg,4.98
../datasets/photocentric/IMG_8733.jpg,2.71
../datasets/photocentric/IMG_8666.jpg,2.54
../datasets/photocentric/IMG_8753.jpg,3.75
../datasets/photocentric/IMG_8740.jpg,4.5
../datasets/photocentric/IMG_8748.jpg,3.92
../datasets/photocentric/598993201.355796.jpg,3.32
../datasets/photocentric/IMG_8673.jpg,1.63
../datasets/photocentric/IMG_8644.jpg,4.79
../datasets/photocentric/IMG_8763.jpg,3.38
../datasets/photocentric/IMG_0188.jpg,4.97
../datasets/photocentric/IMG_8643.jpg,4.31
../datasets/photocentric/598993227.859897.jpg,5.28
../datasets/photocentric/IMG_8709.jpg,3.65
../datasets/photocentric/IMG_8728.jpg,3.38
../datasets/photocentric/IMG_8691.jpg,4.0
../datasets/photocentric/IMG_8695.jpg,3.02
../datasets/photocentric/IMG_0181.jpg,1.24
../datasets/photocentric/IMG_8672.jpg,2.66
../datasets/photocentric/IMG_8724.jpg,2.91
../datasets/photocentric/IMG_8703.jpg,2.7
../datasets/photocentric/IMG_8668.jpg,3.51
../datasets/photocentric/IMG_0191.jpg,1.34
../datasets/photocentric/IMG_8757.jpg,3.85
../datasets/photocentric/IMG_8742.jpg,5.16
../datasets/photocentric/IMG_8723.jpg,2.49
../datasets/photocentric/IMG_8697.jpg,2.19
../datasets/photocentric/IMG_8664.jpg,3.57
../datasets/photocentric/IMG_8693.jpg,2.5
../datasets/photocentric/IMG_8700.jpg,2.42
../datasets/photocentric/IMG_8726.jpg,3.38
../datasets/photocentric/IMG_8663.jpg,4.57
../datasets/photocentric/IMG_8633.jpg,1.63
../datasets/photocentric/IMG_8730.jpg,3.29
../datasets/photocentric/IMG_8635.jpg,2.48
../datasets/photocentric/IMG_8704.jpg,3.15
../datasets/photocentric/IMG_8725.jpg,2.26
../datasets/photocentric/IMG_8717.jpg,3.77
../datasets/photocentric/IMG_8769.jpg,3.14
../datasets/photocentric/IMG_8640.jpg,4.41
../datasets/photocentric/IMG_8755.jpg,3.56
../datasets/photocentric/IMG_8688.jpg,3.74
../datasets/photocentric/IMG_8708.jpg,4.77
../datasets/photocentric/IMG_8713.jpg,2.44
../datasets/photocentric/IMG_8765.jpg,4.26
../datasets/photocentric/598993259.117453.jpg,4.19
../datasets/photocentric/IMG_8631.jpg,1.43
../datasets/photocentric/IMG_0183.jpg,0.97
../datasets/photocentric/IMG_8722.jpg,1.72
../datasets/photocentric/IMG_8772.jpg,2.37
../datasets/photocentric/IMG_8649.jpg,4.97
../datasets/photocentric/IMG_8773.jpg,3.31
../datasets/photocentric/IMG_8651.jpg,5.52
../datasets/photocentric/IMG_0182.jpg,1.32
../datasets/photocentric/IMG_8646.jpg,5.62
../datasets/photocentric/IMG_8739.jpg,5.06
../datasets/photocentric/IMG_8734.jpg,2.61
../datasets/photocentric/IMG_8714.jpg,3.16
../datasets/photocentric/IMG_8629.jpg,0.2
../datasets/photocentric/IMG_8774.jpg,3.07
../datasets/photocentric/IMG_8680.jpg,2.45
../datasets/photocentric/IMG_8699.jpg,2.8
../datasets/photocentric/IMG_8662.jpg,4.31
../datasets/photocentric/IMG_8692.jpg,2.69
../datasets/photocentric/IMG_8710.jpg,3.99
../datasets/photocentric/IMG_8685.jpg,3.96
../datasets/photocentric/IMG_8784.jpg,2.24
../datasets/photocentric/IMG_8687.jpg,3.22
../datasets/photocentric/IMG_8660.jpg,4.44
../datasets/photocentric/IMG_8650.jpg,5.61
../datasets/photocentric/IMG_8719.jpg,3.69
../datasets/photocentric/IMG_8716.jpg,3.49
../datasets/photocentric/IMG_8747.jpg,2.73
../datasets/photocentric/IMG_0186.jpg,4.19
../datasets/photocentric/IMG_8750.jpg,3.52
../datasets/photocentric/598993195.471316.jpg,3.48
../datasets/photocentric/598993243.796207.jpg,4.14
../datasets/photocentric/IMG_8746.jpg,3.74
../datasets/photocentric/IMG_8690.jpg,4.44
../datasets/photocentric/IMG_8771.jpg,2.38
../datasets/photocentric/IMG_0187.jpg,3.9
../datasets/photocentric/IMG_8657.jpg,3.96
../datasets/photocentric/IMG_0185.jpg,0.0
../datasets/photocentric/598993254.139694.jpg,4.46
../datasets/photocentric/IMG_8696.jpg,2.55
../datasets/photocentric/IMG_8689.jpg,4.01
../datasets/photocentric/IMG_8776.jpg,2.84
../datasets/photocentric/IMG_8779.jpg,2.31
../datasets/photocentric/598993263.670355.jpg,5.48
../datasets/photocentric/IMG_8681.jpg,2.62
../datasets/photocentric/IMG_8675.jpg,1.4
../datasets/photocentric/IMG_8743.jpg,5.43
